word	label	subtype
alliance	R	
allied	R	
allow	R	
allowed	R	
allowing	R	
allows	R	
alloy	R	
almost	S	epistemic
alone	R	
along	F	
alongside	R	
alot	F	
already	F	
also	F	
alternative	R	
alternatively	F	
alternatives	R	
although	F	
aluminum	R	
always	F	
am	F	
amazing	S	evaluative
amazon	R	
amenities	R	
america	R	
american	R	
americans	R	
among	F	
amongst	F	
amount	R	
amounts	R	
ample	R	
amplify	R	
an	F	
ana	R	
anal	R	
analyse	R	
analyses	R	
analysis	R	
analytics	R	
analyzed	R	
ancient	R	
and	F	
android	R	
anesthesia	R	
angle	R	
angled	R	
angles	R	
anglican	R	
animal	R	
animated	R	
animation	R	
announce	S	speech_act
announced	S	speech_act
annual	R	
another	F	
answer	R	
answers	R	
ante	R	
antec	X	
anthony	R	
anti	X	
anticipate	R	
any	F	
anymore	F	
anyone	F	
anything	F	
anytime	F	
anyway	F	
anywhere	F	
apart	F	
apartment	R	
apex	R	
api	R	
apk	X	
app	R	
appalachian	R	
apparent	S	epistemic
apparently	S	epistemic
appear	S	epistemic
appearance	R	
appeared	S	epistemic
appearing	R	
appears	S	epistemic
apple	R	
applicable	R	
application	R	
applications	R	
apply	R	
appreciate	S	attitude_verb
appreciated	S	attitude_verb
appreciating	R	
appreciation	R	
approach	R	
approached	R	
approaches	R	
approaching	R	
appropriate	S	evaluative
approved	R	
approx	S	epistemic
approximately	S	epistemic
april	R	
arab	R	
architectural	R	
architecture	R	
arduous	S	evaluative
are	F	
area	R	
areas	R	
argue	S	speech_act
argues	S	speech_act
arizona	R	
arm	R	
army	R	
arnold	R	
around	F	
arranged	R	
arrangements	R	
arrested	R	
art	R	
article	R	
articles	R	
artificial	R	
artificially	R	
artistic	R	
arts	R	
as	F	
ask	S	speech_act
asked	S	speech_act
asking	R	
aspect	R	
aspects	R	
ass	R	
assert	S	speech_act
assess	R	
assessed	R	
assessment	R	
asset	R	
assets	R	
assigned	R	
assist	R	
assistance	R	
assistant	R	
assisting	R	
assists	R	
associate	R	
associated	R	
association	R	
assume	S	attitude_verb
assure	R	
assured	R	
at	F	
athlete	R	
atlanta	R	
atlantic	R	
atmosphere	R	
atom	R	
attached	R	
attachment	R	
attack	R	
attempt	R	
attempted	R	
attempting	R	
attended	R	
attention	R	
attitude	R	
attorney	R	
attractive	S	evaluative
attributed	R	
audit	R	
august	R	
austin	R	
australia	R	
australian	R	
authentic	S	evaluative
author	R	
authorization	R	
authorized	R	
authors	R	
auto	R	
autofocus	R	
automate	R	
automatic	R	
automatically	R	
automation	R	
autumn	R	
availability	R	
available	R	
avalanche	R	
average	R	
avoid	R	
award	R	
awarded	R	
awareness	R	
away	F	
ayudar	X	
baby	R	
bachelor	R	
back	F	
background	R	
bad	S	evaluative
bade	R	
badly	S	evaluative
bag	R	
balance	R	
balanced	R	
balancing	R	
ball	R	
band	R	
bandwidth	R	
bank	R	
banking	R	
bar	R	
barbara	R	
bare	R	
barrel	R	
barrier	R	
base	R	
based	R	
basic	R	
basically	S	epistemic
basis	R	
basketball	R	
batch	R	
bathroom	R	
battery	R	
battle	R	
bay	R	
bbq	R	
be	F	
beach	R	
beam	R	
bean	R	
bearing	R	
beat	R	
beaten	R	
beautiful	S	evaluative
beauty	R	
became	R	
because	F	
become	R	
becoming	R	
bed	R	
bedroom	R	
beef	R	
been	F	
before	F	
began	R	
begin	R	
beginning	R	
begun	R	
behavior	R	
behavioral	R	
behaviour	R	
behind	F	
being	F	
beings	R	
beliefs	R	
believe	S	attitude_verb
bell	R	
below	F	
belt	R	
beneath	F	
benefits	R	
berlin	R	
besides	F	
bespoke	R	
best	S	evaluative
bet	R	
beta	R	
better	S	evaluative
between	F	
beyond	F	
big	R	
bigger	R	
biggest	R	
bill	R	
billing	R	
billion	F	
bin	R	
biodegradable	R	
biological	R	
biomedical	R	
birth	R	
biscuits	R	
bit	R	
bitter	R	
black	R	
blades	R	
blend	R	
blessings	R	
blew	R	
block	R	
blocking	R	
blog	R	
blood	R	
blow	R	
blu	R	
blue	R	
blueberry	R	
bn	X	
board	R	
boasts	S	speech_act
boat	R	
body	R	
boiler	R	
bond	R	
bone	R	
bonus	R	
book	R	
boost	R	
bosnia	R	
both	F	
bottle	R	
bottles	R	
bought	R	
boulder	R	
boundaries	R	
bowl	R	
box	R	
boy	R	
brabant	R	
braided	R	
brain	R	
branch	R	
brand	R	
brazilian	R	
break	R	
breast	R	
breeding	R	
brian	R	
bridal	R	
bridge	R	
bridges	R	
brief	R	
bright	R	
brighten	R	
brightest	R	
brilliant	S	evaluative
bring	R	
bringing	R	
brings	R	
british	R	
broaden	R	
broader	R	
broke	R	
brooklyn	R	
bros	R	
brother	R	
brought	R	
brown	R	
brush	R	
brussels	R	
buffer	R	
build	R	
building	R	
built	R	
bumper	R	
bunch	R	
bus	R	
bush	R	
business	R	
businesses	R	
busy	R	
but	F	
butter	R	
button	R	
buy	R	
buyer	R	
buying	R	
by	F	
ca	R	
cable	R	
cacao	R	
cafe	R	
calculated	R	
calculator	R	
calibrated	R	
california	R	
call	R	
called	R	
calls	R	
cambridge	R	
came	R	
campaign	R	
campus	R	
can	F	
can't	F	
canada	R	
canadian	R	
canal	R	
canary	R	
cancer	R	
candidate	R	
cannot	F	
capabilities	R	
capable	S	evaluative
capacity	R	
cape	R	
capital	R	
captivating	S	evaluative
capture	R	
captures	R	
car	R	
carbon	R	
card	R	
cardio	R	
cardiovascular	R	
cards	R	
care	S	attitude_verb
career	R	
careful	S	evaluative
carefully	S	evaluative
caribbean	R	
carolina	R	
carried	R	
carry	R	
cars	R	
cart	R	
cartesian	R	
case	R	
casino	R	
cast	R	
casting	R	
catalog	R	
catch	R	
category	R	
catering	R	
cause	R	
caused	R	
causes	R	
causing	R	
cef	X	
celebrate	R	
celebrated	R	
celebrating	R	
celebration	R	
celebrations	R	
celebrities	R	
celebrity	R	
cell	R	
cellular	R	
cent	R	
center	R	
central	R	
centre	R	
centrifugal	R	
ceo	R	
ceramic	R	
certain	S	epistemic
certainly	S	epistemic
certificate	R	
certification	R	
certified	R	
chain	R	
challenge	R	
challenges	R	
challenging	S	evaluative
champions	R	
championship	R	
championships	R	
chance	R	
change	R	
changed	R	
changes	R	
changing	R	
channel	R	
chaos	R	
chapter	R	
character	R	
characterised	R	
characteristics	R	
characterized	R	
characters	R	
charming	S	evaluative
chart	R	
chateau	R	
check	R	
checked	R	
checks	R	
cheese	R	
chelsea	R	
chemical	R	
chic	S	evaluative
chicago	R	
chicken	R	
chief	R	
child	R	
childhood	R	
children	R	
children's	R	
childs	R	
china	R	
china's	R	
chinese	R	
chiropractic	R	
chocolate	R	
choice	R	
choose	R	
chopped	R	
chris	R	
christ	R	
christian	R	
christmas	R	
chrome	R	
chronic	R	
chunks	R	
church	R	
churches	R	
ci	X	
cinnamon	R	
cite	R	
citizens	R	
city	R	
civic	R	
civil	R	
claim	S	speech_act
claims	S	speech_act
clarity	R	
class	R	
classic	S	evaluative
classical	R	
classification	R	
clean	R	
cleansing	R	
cleanup	R	
clear	S	evaluative
clearly	S	epistemic
click	R	
client	R	
cliff	R	
climate	R	
climatic	R	
clinic	R	
clinical	R	
clone	R	
close	R	
closed	R	
closely	R	
closer	R	
closest	R	
cloud	R	
club	R	
clubs	R	
cm	R	
cnn	R	
co	X	
coast	R	
coastal	R	
cock	R	
cod	R	
code	R	
coding	R	
coffee	R	
collaboration	R	
collaborative	R	
collect	R	
collected	R	
collection	R	
collections	R	
collective	R	
college	R	
collegiate	R	
color	R	
colors	R	
colour	R	
columbia	R	
combat	R	
combined	R	
combo	R	
comcast	R	
come	R	
comes	R	
comfort	R	
comfortable	S	evaluative
comic	R	
coming	R	
command	R	
comment	R	
comments	R	
commerce	R	
commercial	R	
commission	R	
commit	R	
commitment	R	
committed	R	
committee	R	
common	R	
commonly	R	
communicate	R	
communication	R	
communications	R	
community	R	
compact	R	
companies	R	
company	R	
company's	R	
compatible	R	
compelling	S	evaluative
compensation	R	
compete	R	
competition	R	
competitive	R	
compiled	R	
compiler	R	
complementary	R	
complete	R	
completed	R	
completely	S	degree
completion	R	
complex	R	
complexities	R	
compliance	R	
complicated	S	evaluative
comply	R	
components	R	
composed	R	
comprehend	S	epistemic
comprehensive	S	evaluative
comprise	R	
comprises	R	
compute	R	
computer	R	
computing	R	
concentration	R	
concept	R	
concepts	R	
conclusion	R	
conclusions	R	
condition	R	
conditions	R	
condo	R	
condoms	R	
conduct	R	
conducted	R	
conference	R	
confidence	R	
confident	S	epistemic
configuration	R	
configured	R	
confirm	S	speech_act
confirmation	R	
confirmed	S	speech_act
confirms	R	
conflict	R	
conforms	R	
confronted	R	
confused	S	evaluative
confusion	R	
congestion	R	
congo	R	
connect	R	
connected	R	
connection	R	
connectivity	R	
consecutive	R	
consensus	R	
consent	R	
consequences	R	
consequently	F	
consider	S	attitude_verb
considerable	S	evaluative
considerably	S	degree
consideration	R	
considerations	R	
considered	S	attitude_verb
considering	S	attitude_verb
consistency	R	
consistent	R	
consistently	R	
consists	R	
console	R	
consolidate	R	
consolidated	R	
consolidation	R	
constant	R	
constantly	R	
constitute	R	
constituted	R	
constitutes	R	
constraints	R	
constructed	R	
construction	R	
consultancy	R	
consultant	R	
consultation	R	
consulting	R	
consumer	R	
contact	R	
contained	R	
container	R	
contains	R	
contemplate	S	epistemic
contemplating	S	epistemic
contemporary	R	
content	R	
contentious	R	
context	R	
continually	R	
continue	R	
continued	R	
continues	R	
continuing	R	
contract	R	
contractors	R	
contrast	R	
contrasting	R	
contribute	R	
contributed	R	
contribution	R	
contributions	R	
control	R	
controlled	R	
controller	R	
convenient	S	evaluative
conventional	R	
converted	R	
convinced	S	epistemic
cook	R	
cookie	R	
cookies	R	
cooking	R	
cool	S	evaluative
cooperation	R	
coordinated	R	
coordinating	R	
copd	R	
copper	R	
copy	R	
core	R	
corn	R	
corner	R	
coronavirus	R	
corporate	R	
corporation	R	
correct	S	evaluative
correctly	S	evaluative
correspond	R	
corresponding	R	
cosplay	R	
cost	R	
costco	R	
costume	R	
costumes	R	
cottage	R	
cough	R	
could	F	
couldn't	F	
counter	R	
countless	S	degree
countries	R	
country	R	
county	R	
couple	R	
coupled	R	
coupon	R	
course	R	
court	R	
cover	R	
covered	R	
coveted	S	evaluative
cpu	R	
cracked	R	
craft	R	
crafted	R	
crafting	R	
crash	R	
crazy	S	evaluative
create	R	
created	R	
creating	R	
creation	R	
creative	R	
credit	R	
cried	R	
criminal	R	
crisis	R	
criteria	R	
critical	S	evaluative
critically	S	degree
criticised	S	speech_act
croatia	R	
cross	R	
crosses	R	
crown	R	
cruel	S	evaluative
crunch	R	
crystal	R	
ctrl	R	
culinary	R	
cultivating	R	
cultural	R	
culturally	R	
culture	R	
cup	R	
cure	R	
curiosity	R	
curious	S	evaluative
current	R	
currently	R	
custom	R	
customer	R	
customers	R	
customizable	R	
customize	R	
customized	R	
cut	R	
cute	S	evaluative
cutting	R	
cybersecurity	R	
cycle	R	
cyp	R	
dad	R	
daemon	R	
daily	R	
damage	R	
damaged	R	
damn	S	interjection
damon	R	
damping	R	
dance	R	
dangerous	S	evaluative
dark	R	
darker	R	
data	R	
database	R	
date	R	
dating	R	
daughter	R	
day	R	
days	R	
de	F	
deal	R	
dealers	R	
deals	R	
dean	R	
death	R	
debut	R	
decade	R	
decades	R	
december	R	
decide	R	
decided	R	
decision	R	
decisions	R	
declaration	R	
decline	R	
dedicated	R	
deep	R	
deepen	R	
deeper	R	
default	R	
defect	R	
defence	R	
defense	R	
defensive	R	
definitely	S	epistemic
definition	R	
definitions	R	
degradation	R	
degree	R	
degrees	R	
delay	R	
delayed	R	
delight	R	
delighted	S	evaluative
deliver	R	
delivered	R	
delivering	R	
delivers	R	
delivery	R	
delta	R	
demo	R	
demonstrate	S	epistemic
demonstrated	S	epistemic
demonstrating	S	epistemic
dental	R	
denver	R	
department	R	
departmental	R	
depending	R	
deposit	R	
depth	R	
deputy	R	
der	F	
describe	R	
described	R	
describes	R	
description	R	
desert	R	
design	R	
designated	R	
designed	R	
designer	R	
desktop	R	
despair	R	
despite	F	
destiny	R	
detail	R	
detailed	R	
details	R	
detected	R	
detection	R	
deterioration	R	
determination	R	
determine	R	
determined	R	
determining	R	
devastated	S	evaluative
develop	R	
developed	R	
developing	R	
development	R	
device	R	
devoted	R	
di	F	
diagnosed	R	
diagnosis	R	
diagnostic	R	
diagram	R	
dialog	R	
diameter	R	
diamond	R	
diaz	R	
dick	R	
dictionary	R	
did	F	
didn't	F	
die	F	
died	R	
diesel	R	
difference	R	
differences	R	
different	R	
differently	R	
difficult	S	evaluative
difficulties	R	
difficulty	R	
dig	R	
digital	R	
dignity	R	
dining	R	
diploma	R	
dire	S	evaluative
directly	R	
directory	R	
dirt	R	
dirty	R	
disabilities	R	
disconnected	R	
discounted	R	
discourse	R	
discover	R	
discovered	R	
discovering	R	
discovery	R	
discretion	R	
discriminatory	R	
discuss	R	
discussed	R	
discussion	R	
disease	R	
disney	R	
disorders	R	
displayed	R	
disposal	R	
disposing	R	
distant	R	
distinct	R	
distinctive	S	evaluative
distorted	R	
distracted	R	
distributed	R	
distribution	R	
district	R	
divergence	R	
diverse	R	
diversity	R	
divided	R	
divine	R	
division	R	
dl	X	
dna	R	
do	F	
document	R	
documentary	R	
documentation	R	
documented	R	
documents	R	
does	F	
doesn	F	
doesn't	F	
doesnt	F	
dog	R	
dogs	R	
doing	F	
dolby	R	
dom	R	
domestic	R	
domino	R	
don	F	
don't	F	
done	F	
door	R	
dose	R	
double	R	
doubt	S	attitude_verb
doug	R	
down	F	
download	R	
downloaded	R	
dr	R	
dragged	R	
dragon	R	
dramatic	S	evaluative
dramatically	S	evaluative
draw	R	
drawn	R	
dream	R	
dress	R	
drink	R	
drinking	R	
drive	R	
driver	R	
driving	R	
drop	R	
drove	R	
drug	R	
drum	R	
drunken	R	
dry	R	
dryer	R	
ds	R	
dslr	R	
dual	R	
duc	X	
duck	R	
duct	R	
due	F	
duly	R	
dumpster	R	
durable	R	
during	F	
dust	R	
dvd	R	
dying	R	
dynamic	R	
dynamics	R	
each	F	
eager	S	evaluative
earlier	F	
early	R	
earn	R	
earth	R	
easiest	R	
easily	S	evaluative
east	R	
easter	R	
eastern	R	
easy	S	evaluative
eat	R	
eating	R	
ecology	R	
economic	R	
economies	R	
economists	R	
economy	R	
ecosystem	R	
ed	X	
eddie	R	
edge	R	
edges	R	
edgy	R	
edi	R	
edit	R	
edition	R	
edmund	R	
education	R	
educational	R	
edwards	R	
eeg	R	
effect	R	
effective	S	evaluative
effectively	S	evaluative
effects	R	
efficacy	R	
efficiencies	R	
efficiency	R	
efficient	S	evaluative
effort	R	
efforts	R	
eg	F	
either	F	
elasticity	R	
elderly	R	
election	R	
electric	R	
electrical	R	
electricity	R	
electronic	R	
elegance	R	
elegant	S	evaluative
elegantly	S	evaluative
element	R	
elements	R	
elevated	R	
eligible	R	
else	F	
elvis	R	
em	F	
email	R	
emanuel	R	
embedded	R	
embodies	R	
embodiment	R	
embody	R	
embrace	R	
embraced	R	
embroidered	R	
emergency	R	
emerging	R	
emirates	R	
emoji	R	
emotion	R	
emotional	R	
emotionally	R	
emotions	R	
emphasis	R	
employees	R	
employers	R	
employment	R	
empowering	R	
empty	R	
en	F	
enable	R	
enabled	R	
enables	R	
encourage	R	
encouraged	R	
encryption	R	
encyclopedia	R	
end	R	
endless	S	degree
endogenous	R	
energy	R	
enforce	R	
enforcement	R	
engage	R	
engaged	R	
engagement	R	
engaging	R	
engine	R	
engineer	R	
engineering	R	
england	R	
english	R	
enhance	R	
enhanced	R	
enhancements	R	
enhances	R	
enhancing	R	
enjoy	S	attitude_verb
enjoyable	S	evaluative
enjoyed	S	attitude_verb
enjoying	R	
enjoyment	R	
enlarge	R	
enormous	S	degree
enough	F	
enriching	R	
ensure	R	
ensured	R	
ensures	R	
ensuring	R	
enterprise	R	
entertaining	S	evaluative
entire	F	
entirety	F	
entity	R	
entrepreneurs	R	
entry	R	
environment	R	
environmental	R	
environmentally	R	
epa	R	
epic	S	evaluative
episodes	R	
equal	R	
equally	F	
equipment	R	
equipped	R	
equity	R	
era	R	
ernst	R	
error	R	
especially	S	degree
espresso	R	
essential	S	evaluative
essentially	S	epistemic
establish	R	
established	R	
establishment	R	
estate	R	
estimate	R	
estimated	R	
estimates	R	
etc	F	
eternal	R	
ethos	R	
etsy	R	
eu	R	
europe	R	
european	R	
evacuated	R	
evaluate	R	
evaluated	R	
evaluating	R	
evaluation	R	
evangelical	R	
even	S	epistemic
evening	R	
event	R	
events	R	
ever	F	
every	F	
everyday	R	
everyone	F	
everything	F	
everywhere	F	
evidence	R	
evil	S	evaluative
evolutionary	R	
evolving	R	
exact	S	epistemic
exactly	S	epistemic
exam	R	
examination	R	
example	R	
examples	R	
exams	R	
excellence	R	
excellent	S	evaluative
except	F	
exception	R	
exceptional	S	evaluative
excerpt	R	
excessive	S	evaluative
exchange	R	
excited	S	evaluative
exciting	S	evaluative
exclusively	S	epistemic
executed	R	
executing	R	
executive	R	
exercising	R	
exeter	R	
exhibits	R	
existence	R	
existing	R	
exotic	R	
expand	R	
expanded	R	
expanding	R	
expands	R	
expansion	R	
expansive	R	
expect	S	attitude_verb
expectations	R	
expected	S	attitude_verb
expecting	S	attitude_verb
experience	R	
experienced	R	
experiences	R	
experiential	R	
experiment	R	
experimental	R	
expertise	R	
explain	S	speech_act
explained	S	speech_act
exploration	R	
explore	R	
explorer	R	
exploring	R	
exposed	R	
exposure	R	
express	R	
extend	R	
extended	R	
extends	R	
extension	R	
extensive	R	
extent	R	
external	R	
extra	R	
extract	R	
extreme	S	evaluative
extremely	S	degree
eye	R	
face	R	
facebook	R	
facets	R	
facilitate	R	
facilities	R	
facility	R	
facing	R	
fact	R	
factor	R	
factors	R	
factory	R	
facts	R	
faculties	R	
faculty	R	
failed	R	
failure	R	
fair	S	evaluative
fairly	S	epistemic
faith	R	
faithful	R	
faithfully	R	
fall	R	
false	S	evaluative
familiar	R	
familiarity	R	
families	R	
family	R	
famous	R	
famously	R	
fan	R	
fantastic	S	evaluative
far	F	
farm	R	
fascinated	S	evaluative
fascinating	S	evaluative
fascination	R	
fashion	R	
fast	R	
fatal	R	
favorite	S	evaluative
favourite	S	evaluative
fbi	R	
fear	S	attitude_verb
feature	R	
featured	R	
features	R	
feb	R	
february	R	
federal	R	
feel	S	attitude_verb
feeling	S	attitude_verb
feels	S	attitude_verb
fees	R	
fellow	R	
felt	S	attitude_verb
female	R	
females	R	
fence	R	
fermented	R	
fernando	R	
ferry	R	
festival	R	
few	F	
fewer	F	
fiance	R	
fiber	R	
fibre	R	
field	R	
fifteen	F	
fifth	F	
fig	F	
fighting	R	
figure	R	
figures	R	
figuring	R	
file	R	
files	R	
filesystem	R	
fill	R	
filled	R	
filling	R	
film	R	
films	R	
final	R	
finally	F	
finance	R	
financial	R	
find	R	
findings	R	
finds	R	
fine	S	evaluative
fingerprint	R	
finished	R	
finishing	R	
fire	R	
firm	R	
firmly	S	degree
first	F	
firstname	X	
fiscal	R	
fishing	R	
fit	S	evaluative
fits	R	
fitted	R	
fitting	S	evaluative
five	F	
fl	R	
flag	R	
flags	R	
flat	R	
flawless	S	evaluative
flexibility	R	
flexible	R	
flight	R	
floating	R	
flood	R	
flooding	R	
floor	R	
flooring	R	
florida	R	
flow	R	
fly	R	
flying	R	
focus	R	
fog	R	
follow	R	
following	R	
follows	R	
food	R	
foot	R	
footage	R	
football	R	
for	F	
forbidden	R	
force	R	
forced	R	
forces	R	
foreign	R	
forever	F	
form	R	
format	R	
former	F	
formula	R	
fort	R	
forth	F	
fortunate	S	evaluative
forum	R	
forward	F	
foster	R	
found	R	
foundational	R	
founded	R	
founding	R	
four	F	
fourth	F	
fox	R	
framework	R	
framing	R	
france	R	
frank	R	
fraud	R	
free	R	
freedom	R	
french	R	
frequency	R	
freshly	R	
friday	R	
friend	R	
friendly	S	evaluative
friends	R	
from	F	
front	R	
frosting	R	
fruit	R	
ftp	R	
fuel	R	
fulfil	R	
fulfill	R	
fulfilled	R	
fulfilling	R	
full	R	
fully	S	degree
fun	S	evaluative
function	R	
functional	R	
functionalities	R	
functionality	R	
functions	R	
funeral	R	
funny	S	evaluative
furnished	R	
furniture	R	
further	F	
furthermore	F	
fusion	R	
future	R	
ga	X	
gain	R	
galactic	R	
gambling	R	
game	R	
gameplay	R	
games	R	
gaming	R	
gang	R	
gap	R	
garage	R	
gas	R	
gathered	R	
gave	R	
gb	R	
gcc	R	
gen	R	
gene	R	
general	R	
generally	S	epistemic
generated	R	
generation	R	
generator	R	
genetic	R	
geometric	R	
geometry	R	
george	R	
german	R	
gestaltung	X	
get	F	
gets	F	
getter	R	
getting	F	
ghost	R	
gi	R	
gift	R	
gigs	R	
girl	R	
girls	R	
give	R	
given	R	
gives	R	
giving	R	
glad	S	evaluative
global	R	
globally	R	
glorious	S	evaluative
glück	R	
gm	R	
gmail	R	
go	R	
goal	R	
goals	R	
god	R	
god's	R	
goes	R	
going	R	
golf	R	
gone	R	
gonna	F	
good	S	evaluative
google	R	
gop	R	
got	F	
gotta	S	modal
government	R	
gps	R	
grade	R	
gradually	R	
grand	R	
grant	R	
grateful	S	evaluative
gray	R	
great	S	evaluative
greater	R	
greatest	S	evaluative
greatly	S	degree
grew	R	
griffin	R	
groningen	R	
gross	S	evaluative
ground	R	
groundbreaking	R	
groundwater	R	
group	R	
grouped	R	
groups	R	
grow	R	
growing	R	
grown	R	
grows	R	
growth	R	
guarantee	S	speech_act
guaranteed	S	speech_act
guess	S	attitude_verb
guest	R	
guidance	R	
guide	R	
guided	R	
guidelines	R	
guiding	R	
guinea	R	
gum	R	
gun	R	
guy	R	
guys	R	
hackers	R	
had	F	
hadn't	F	
hair	R	
half	F	
hall	R	
hand	R	
handling	R	
hands	R	
happen	R	
happened	R	
happiness	R	
happy	S	evaluative
hard	S	evaluative
harder	R	
hardware	R	
harmony	R	
harvest	R	
harvested	R	
has	F	
hasan	R	
hat	R	
hate	S	attitude_verb
have	F	
haven't	F	
having	F	
hazardous	S	evaluative
hazards	R	
hd	R	
he	F	
head	R	
healing	R	
health	R	
healthcare	R	
healthy	S	evaluative
hear	R	
heard	R	
hearing	R	
heart	R	
heated	R	
heater	R	
heating	R	
heavy	R	
heft	R	
hehe	S	interjection
height	R	
heightened	R	
held	R	
hello	S	interjection
help	R	
helped	R	
helpful	S	evaluative
helping	R	
helps	R	
hence	F	
her	F	
here	F	
here's	F	
heritage	R	
herself	F	
hey	S	interjection
hi	S	interjection
hidden	R	
hiding	R	
high	R	
higher	R	
highest	R	
highlight	R	
highlights	R	
highly	S	degree
hill	R	
him	F	
himself	F	
hip	R	
his	F	
historic	R	
historical	R	
historically	R	
history	R	
hit	R	
hitting	R	
hiv	R	
hl	X	
hold	R	
holding	R	
hole	R	
holiday	R	
holidays	R	
holistic	R	
holland	R	
hollywood	R	
holy	R	
home	R	
homemade	R	
homes	R	
homework	R	
honestly	S	epistemic
hong	R	
honor	R	
honorable	R	
honored	R	
hook	R	
hoover	R	
hope	S	attitude_verb
hoping	S	attitude_verb
horny	R	
horse	R	
horses	R	
hospital	R	
host	R	
hosted	R	
hot	R	
hotel	R	
hotels	R	
hottest	S	evaluative
hours	R	
house	R	
housed	R	
household	R	
houses	R	
housing	R	
houston	R	
how	F	
however	F	
ht	X	
http	X	
huge	S	degree
hugely	S	degree
hugs	R	
huh	S	interjection
human	R	
humanitarian	R	
hundred	F	
hungry	R	
hunting	R	
hurricane	R	
hydraulic	R	
hyper	X	
hypothetical	S	epistemic
hôtel	R	
i'd	F	
i'll	F	
i'm	F	
i've	F	
ia	R	
ice	R	
icky	S	evaluative
iconic	S	evaluative
id	R	
idaho	R	
idea	R	
ideal	S	evaluative
ideas	R	
identical	R	
identifiable	R	
identification	R	
identified	R	
identifies	R	
identify	R	
identifying	R	
identity	R	
ideological	R	
if	F	
ii	R	
iii	R	
il	F	
ill	R	
illegal	R	
illinois	R	
illuminating	S	evaluative
illumination	R	
illustrate	R	
illustrated	R	
illustrates	R	
illustration	R	
illustrative	R	
image	R	
imagine	S	attitude_verb
immediate	R	
immediately	R	
immensely	S	degree
immersive	R	
immune	R	
impact	R	
implant	R	
implementation	R	
implemented	R	
implications	R	
imply	S	epistemic
importance	R	
important	S	evaluative
importantly	S	evaluative
impossible	S	epistemic
improve	R	
improved	R	
improvement	R	
improvements	R	
improving	R	
in	F	
inadequate	S	evaluative
inc	R	
incest	R	
inclined	R	
include	R	
included	R	
includes	R	
including	R	
inclusion	R	
incorporate	R	
incorrect	S	evaluative
incorrectly	S	evaluative
increase	R	
increased	R	
increases	R	
increasing	R	
increasingly	R	
incredible	S	evaluative
incredibly	S	degree
indeed	S	epistemic
independent	R	
index	R	
indian	R	
indiana	R	
indicated	R	
indie	R	
indigenous	R	
individual	R	
individual's	R	
individuals	R	
indoor	R	
industrial	R	
industry	R	
indy	R	
infected	R	
infection	R	
infer	S	epistemic
infinity	R	
inflatable	R	
info	R	
inform	R	
information	R	
informational	R	
infrared	R	
infrastructure	R	
infused	R	
inherent	R	
initial	R	
initially	R	
initiated	R	
initiatives	R	
inner	R	
innovative	S	evaluative
input	R	
inquiry	R	
insert	R	
inserting	R	
inside	R	
insights	R	
insisted	S	speech_act
inspire	R	
inspired	R	
install	R	
installation	R	
installed	R	
instance	R	
instead	F	
institute	R	
institution	R	
institutions	R	
instructed	R	
instruction	R	
instructions	R	
instrument	R	
instrumental	R	
instruments	R	
insurance	R	
integral	R	
integrate	R	
integrated	R	
integration	R	
intel	R	
intellectually	R	
intelligence	R	
intelligent	S	evaluative
intended	S	attitude_verb
intense	S	evaluative
