id	bank	candidate	polarity	tier	label
T5999	GSS	L09_SV51	positive	selective_top100	REFERENCE
T2342	UWS	L17_SV35	negative	selective_top100	REFERENCE
T4146	GSS	L04_SV22	negative	selective_top100	REFERENCE
T2248	GSS	L22_SV30	negative	selective_top100	REFERENCE
T7663	GSS	L11_SV51	negative	selective_top100	STANCE
T3597	UWS	L12_SV50	positive	selective_top100	REFERENCE
T1542	UWS	L09_SV06	positive	broad_top15	REFERENCE
T6525	UWS	L15_SV04	positive	selective_top100	REFERENCE
T7983	GSS	L01_SV61	negative	selective_top100	REFERENCE
T2667	UWS	L11_SV59	negative	selective_top100	REFERENCE
T3665	UWS	L22_SV33	positive	selective_top100	REFERENCE
T2645	UWS	L08_SV03	positive	broad_top15	STRUCTURAL
T7070	GSS	L17_SV59	negative	mid_random	REFERENCE
T8447	UWS	L00_SV03	positive	mid_random	REFERENCE
T6616	GSS	L13_SV02	positive	broad_top15	STRUCTURAL
T5556	GSS	L10_SV02	positive	broad_top15	STRUCTURAL
T6902	GSS	L06_SV01	positive	broad_top15	REFERENCE
T3207	GSS	L12_SV51	negative	selective_top100	STANCE
T5842	UWS	L13_SV10	positive	broad_top15	REFERENCE
T5218	GSS	L11_SV64	positive	selective_top100	REFERENCE
T1510	UWS	L10_SV29	positive	mid_random	MIXED
T5995	UWS	L13_SV10	negative	broad_top15	STRUCTURAL
T0319	UWS	L21_SV08	negative	mid_random	REFERENCE
T5537	UWS	L18_SV63	negative	selective_top100	STRUCTURAL
T9077	GSS	L17_SV43	positive	mid_random	STANCE
T7514	UWS	L00_SV21	positive	selective_top100	REFERENCE
T7216	GSS	L12_SV02	positive	broad_top15	STRUCTURAL
T0296	UWS	L11_SV01	negative	selective_top100	STRUCTURAL
T6297	GSS	L09_SV02	positive	broad_top15	STRUCTURAL
T5431	GSS	L16_SV64	negative	mid_random	STRUCTURAL
T8477	GSS	L05_SV32	negative	selective_top100	REFERENCE
T4840	UWS	L21_SV19	positive	selective_top100	STRUCTURAL
T8392	GSS	L19_SV23	positive	selective_top100	REFERENCE
T1053	UWS	L05_SV03	positive	broad_top15	STRUCTURAL
T1848	GSS	L14_SV28	positive	selective_top100	REFERENCE
T3744	UWS	L22_SV53	negative	selective_top100	STRUCTURAL
T1716	GSS	L09_SV62	negative	mid_random	REFERENCE
T1377	UWS	L11_SV49	positive	mid_random	REFERENCE
T4351	UWS	L08_SV51	positive	selective_top100	STANCE
T4455	GSS	L05_SV57	negative	selective_top100	MIXED
T0648	GSS	L07_SV04	negative	broad_top15	REFERENCE
T2974	GSS	L01_SV10	negative	selective_top100	REFERENCE
T4430	GSS	L00_SV35	negative	selective_top100	REFERENCE
T2122	GSS	L07_SV01	positive	broad_top15	REFERENCE
T6918	UWS	L07_SV58	positive	selective_top100	STANCE
T4237	GSS	L16_SV58	negative	selective_top100	REFERENCE
T6651	GSS	L18_SV60	negative	selective_top100	REFERENCE
T2447	GSS	L05_SV18	negative	selective_top100	MIXED
T8791	GSS	L15_SV59	negative	selective_top100	STANCE
T8434	UWS	L08_SV11	positive	broad_top15	REFERENCE
T9348	GSS	L03_SV02	negative	broad_top15	STRUCTURAL
T8103	UWS	L10_SV01	negative	selective_top100	STRUCTURAL
T5358	GSS	L02_SV64	positive	selective_top100	MIXED
T1465	GSS	L06_SV38	negative	mid_random	REFERENCE
T4572	UWS	L01_SV37	negative	selective_top100	REFERENCE
T0942	UWS	L08_SV11	negative	broad_top15	REFERENCE
T3003	UWS	L04_SV29	negative	selective_top100	REFERENCE
T6968	UWS	L08_SV03	negative	broad_top15	MIXED
T1186	GSS	L11_SV45	positive	selective_top100	REFERENCE
T4406	GSS	L12_SV02	negative	broad_top15	REFERENCE
T0275	UWS	L21_SV07	negative	selective_top100	STRUCTURAL
T1451	GSS	L20_SV58	negative	selective_top100	REFERENCE
T4268	UWS	L20_SV31	negative	selective_top100	STRUCTURAL
T1372	GSS	L11_SV02	negative	broad_top15	REFERENCE
T9964	UWS	L11_SV08	negative	broad_top15	REFERENCE
T3643	GSS	L20_SV13	positive	mid_random	REFERENCE
T1091	UWS	L21_SV36	positive	selective_top100	STRUCTURAL
T4332	GSS	L18_SV09	negative	selective_top100	STANCE
T1993	GSS	L19_SV32	negative	selective_top100	REFERENCE
T7434	GSS	L20_SV22	negative	selective_top100	STANCE
T0189	UWS	L07_SV46	positive	selective_top100	REFERENCE
T9061	UWS	L21_SV54	negative	selective_top100	STRUCTURAL
T6844	GSS	L03_SV37	negative	selective_top100	REFERENCE
T4388	UWS	L18_SV05	negative	selective_top100	REFERENCE
T2117	UWS	L08_SV06	negative	selective_top100	REFERENCE
T0707	UWS	L14_SV41	negative	selective_top100	REFERENCE
T8632	UWS	L18_SV07	positive	mid_random	REFERENCE
T3906	GSS	L11_SV56	positive	selective_top100	REFERENCE
T1793	GSS	L08_SV28	negative	selective_top100	REFERENCE
T4290	UWS	L05_SV56	positive	mid_random	REFERENCE
T0825	GSS	L07_SV01	negative	broad_top15	STRUCTURAL
T2967	UWS	L21_SV59	positive	selective_top100	STRUCTURAL
T3305	UWS	L12_SV10	negative	broad_top15	STRUCTURAL
T5111	UWS	L04_SV02	positive	mid_random	REFERENCE
T4997	GSS	L18_SV37	negative	selective_top100	STRUCTURAL
T8701	GSS	L14_SV08	positive	selective_top100	REFERENCE
T3372	UWS	L22_SV35	negative	selective_top100	STRUCTURAL
T4750	GSS	L11_SV11	positive	selective_top100	REFERENCE
T7302	UWS	L18_SV54	negative	mid_random	REFERENCE
T8193	UWS	L08_SV14	negative	mid_random	STANCE
T2914	GSS	L05_SV01	negative	broad_top15	STRUCTURAL
T4432	UWS	L08_SV54	positive	selective_top100	REFERENCE
T5685	GSS	L03_SV60	negative	selective_top100	STANCE
T0297	UWS	L19_SV50	negative	selective_top100	MIXED
T4103	GSS	L19_SV41	positive	selective_top100	REFERENCE
T0605	GSS	L17_SV25	negative	selective_top100	REFERENCE
T0251	GSS	L10_SV07	positive	broad_top15	REFERENCE
T0302	GSS	L09_SV59	negative	selective_top100	REFERENCE
T8284	UWS	L08_SV39	positive	selective_top100	REFERENCE
T9028	UWS	L00_SV07	positive	selective_top100	REFERENCE
T3104	UWS	L09_SV60	positive	mid_random	REFERENCE
T8425	UWS	L08_SV02	positive	selective_top100	MIXED
T7778	UWS	L07_SV59	positive	selective_top100	REFERENCE
T4025	GSS	L13_SV56	negative	selective_top100	REFERENCE
T7324	UWS	L08_SV09	positive	selective_top100	REFERENCE
T1741	GSS	L18_SV52	positive	selective_top100	REFERENCE
T7080	UWS	L04_SV07	positive	selective_top100	MIXED
T8110	GSS	L06_SV20	negative	selective_top100	MIXED
T8944	GSS	L16_SV10	positive	selective_top100	REFERENCE
T6440	GSS	L07_SV45	negative	mid_random	REFERENCE
T8301	GSS	L13_SV02	negative	broad_top15	REFERENCE
T5042	UWS	L17_SV64	negative	selective_top100	STANCE
T3525	GSS	L19_SV60	negative	selective_top100	REFERENCE
T3761	GSS	L07_SV04	positive	broad_top15	STRUCTURAL
T5614	UWS	L21_SV37	negative	selective_top100	STRUCTURAL
T3254	UWS	L09_SV58	negative	selective_top100	STANCE
T2289	GSS	L18_SV32	negative	selective_top100	REFERENCE
T6630	GSS	L12_SV52	negative	selective_top100	STRUCTURAL
T5694	UWS	L11_SV51	positive	mid_random	STRUCTURAL
T0891	UWS	L22_SV31	positive	selective_top100	REFERENCE
T2126	GSS	L09_SV02	negative	broad_top15	REFERENCE
T1158	GSS	L15_SV29	negative	selective_top100	REFERENCE
T4187	UWS	L21_SV28	negative	selective_top100	STRUCTURAL
T7057	UWS	L02_SV14	positive	mid_random	REFERENCE
T2674	GSS	L08_SV56	negative	selective_top100	STANCE
T0907	GSS	L16_SV18	negative	mid_random	REFERENCE
T1384	GSS	L06_SV24	positive	mid_random	REFERENCE
T6240	UWS	L04_SV06	negative	broad_top15	REFERENCE
T8289	UWS	L20_SV32	positive	selective_top100	STRUCTURAL
T4619	GSS	L12_SV57	positive	selective_top100	REFERENCE
T9810	GSS	L05_SV43	positive	mid_random	REFERENCE
T3968	UWS	L07_SV38	positive	selective_top100	MIXED
T4801	GSS	L18_SV21	negative	selective_top100	REFERENCE
T0741	GSS	L02_SV15	positive	selective_top100	REFERENCE
T7527	GSS	L02_SV03	negative	broad_top15	STRUCTURAL
T3036	UWS	L05_SV03	negative	broad_top15	MIXED
T2581	UWS	L09_SV06	negative	broad_top15	REFERENCE
T4407	GSS	L15_SV50	positive	selective_top100	REFERENCE
T7304	GSS	L10_SV02	negative	broad_top15	REFERENCE
T0059	GSS	L09_SV28	positive	selective_top100	STRUCTURAL
T4312	UWS	L01_SV16	negative	selective_top100	MIXED
T5966	GSS	L12_SV60	positive	selective_top100	REFERENCE
T5389	UWS	L07_SV03	positive	broad_top15	STRUCTURAL
T8963	UWS	L06_SV39	positive	selective_top100	REFERENCE
T5300	GSS	L18_SV63	negative	selective_top100	REFERENCE
T4005	GSS	L21_SV38	positive	selective_top100	REFERENCE
T0564	UWS	L07_SV39	negative	selective_top100	REFERENCE
T5071	UWS	L07_SV30	positive	mid_random	REFERENCE
T3569	UWS	L06_SV03	positive	broad_top15	STRUCTURAL
T2997	GSS	L13_SV64	positive	mid_random	REFERENCE
T0017	UWS	L22_SV24	positive	selective_top100	STRUCTURAL
T5494	GSS	L22_SV64	negative	selective_top100	STRUCTURAL
T6252	GSS	L10_SV24	positive	mid_random	MIXED
T1374	GSS	L05_SV01	positive	broad_top15	REFERENCE
T7776	GSS	L18_SV61	negative	selective_top100	MIXED
T4569	UWS	L09_SV45	positive	selective_top100	REFERENCE
T8237	GSS	L03_SV61	positive	selective_top100	REFERENCE
T3292	UWS	L07_SV03	negative	broad_top15	MIXED
T4066	UWS	L10_SV10	negative	broad_top15	STRUCTURAL
T8269	UWS	L05_SV51	negative	selective_top100	MIXED
T0081	UWS	L14_SV10	positive	broad_top15	MIXED
T1488	UWS	L19_SV63	negative	selective_top100	REFERENCE
T4328	UWS	L19_SV32	positive	mid_random	REFERENCE
T1470	GSS	L09_SV32	negative	mid_random	REFERENCE
T2357	UWS	L09_SV10	positive	broad_top15	STRUCTURAL
T6545	UWS	L10_SV08	positive	broad_top15	MIXED
T9614	GSS	L08_SV39	positive	selective_top100	REFERENCE
T0682	GSS	L15_SV23	negative	selective_top100	MIXED
T6454	GSS	L10_SV40	negative	selective_top100	STANCE
T0368	GSS	L05_SV54	positive	selective_top100	REFERENCE
T4909	GSS	L13_SV60	negative	selective_top100	MIXED
T4984	GSS	L01_SV56	positive	selective_top100	REFERENCE
T3814	UWS	L16_SV02	negative	mid_random	REFERENCE
T9594	GSS	L03_SV02	positive	broad_top15	REFERENCE
T8670	UWS	L17_SV01	positive	selective_top100	STRUCTURAL
T2543	UWS	L18_SV43	positive	selective_top100	REFERENCE
T9774	GSS	L19_SV36	negative	selective_top100	STANCE
T6381	UWS	L13_SV39	positive	selective_top100	MIXED
T5343	UWS	L00_SV14	positive	selective_top100	REFERENCE
T8096	UWS	L17_SV10	positive	selective_top100	REFERENCE
T2448	GSS	L07_SV63	negative	selective_top100	STANCE
T4655	UWS	L10_SV49	negative	selective_top100	REFERENCE
T2371	GSS	L16_SV62	negative	mid_random	REFERENCE
T0717	UWS	L17_SV53	negative	selective_top100	STANCE
T8404	GSS	L09_SV07	positive	broad_top15	REFERENCE
T7032	UWS	L14_SV10	negative	broad_top15	STRUCTURAL
T2282	UWS	L18_SV06	positive	selective_top100	STRUCTURAL
T8581	UWS	L09_SV49	positive	selective_top100	REFERENCE
T8263	UWS	L00_SV41	negative	mid_random	REFERENCE
T9313	UWS	L01_SV18	negative	selective_top100	STANCE
T0263	GSS	L12_SV24	positive	selective_top100	MIXED
T9569	UWS	L20_SV10	positive	selective_top100	STRUCTURAL
T3767	UWS	L16_SV44	positive	mid_random	MIXED
T1394	UWS	L11_SV30	positive	selective_top100	REFERENCE
T0510	UWS	L14_SV01	positive	selective_top100	REFERENCE
T0685	GSS	L12_SV11	positive	selective_top100	REFERENCE
T2180	GSS	L04_SV02	positive	broad_top15	REFERENCE
T5909	UWS	L21_SV42	negative	selective_top100	REFERENCE
T1718	UWS	L12_SV45	negative	mid_random	REFERENCE
T6170	UWS	L22_SV62	negative	selective_top100	STRUCTURAL
T7395	GSS	L11_SV34	positive	selective_top100	REFERENCE
T9150	GSS	L10_SV11	positive	selective_top100	REFERENCE
T0831	UWS	L08_SV55	positive	selective_top100	REFERENCE
T0308	UWS	L09_SV01	negative	selective_top100	REFERENCE
T8707	UWS	L09_SV27	positive	mid_random	REFERENCE
T4006	GSS	L07_SV08	positive	mid_random	STANCE
T8016	UWS	L13_SV01	positive	selective_top100	STRUCTURAL
T4321	GSS	L08_SV02	positive	broad_top15	STRUCTURAL
T0054	GSS	L03_SV47	negative	selective_top100	REFERENCE
T7486	UWS	L21_SV40	positive	selective_top100	STRUCTURAL
T1148	GSS	L08_SV53	positive	mid_random	MIXED
T8240	UWS	L06_SV52	positive	selective_top100	REFERENCE
T8768	UWS	L20_SV29	positive	selective_top100	REFERENCE
T1506	GSS	L05_SV26	negative	selective_top100	STRUCTURAL
T8617	UWS	L19_SV44	positive	selective_top100	REFERENCE
T1082	GSS	L18_SV64	negative	selective_top100	REFERENCE
