bank,candidate,polarity,selected,selrank,layer,R,S,F,X,U,ratio
UWS,L00_SV53,positive,False,1125,0,39,0,2,0,6,0.000
UWS,L00_SV54,negative,True,1079,0,56,0,0,0,3,0.000
UWS,L00_SV54,positive,False,1079,0,3,43,2,0,3,0.935
UWS,L00_SV55,negative,True,1462,0,0,0,0,0,0,
UWS,L00_SV55,positive,False,1462,0,15,0,0,0,22,0.000
UWS,L00_SV56,negative,False,944,0,1,7,0,0,11,0.875
UWS,L00_SV56,positive,True,944,0,48,0,2,0,12,0.000
UWS,L00_SV57,negative,True,1463,0,49,0,2,0,12,0.000
UWS,L00_SV57,positive,False,1463,0,18,0,0,0,0,0.000
UWS,L00_SV58,negative,True,1402,0,31,2,18,0,10,0.061
UWS,L00_SV58,positive,False,1402,0,25,16,0,0,1,0.390
UWS,L00_SV59,negative,True,402,0,41,1,0,0,19,0.024
UWS,L00_SV59,positive,False,402,0,7,0,4,0,1,0.000
UWS,L00_SV60,negative,True,1240,0,49,0,0,0,4,0.000
UWS,L00_SV60,positive,False,1240,0,14,2,0,0,29,0.125
UWS,L00_SV61,negative,True,1472,0,59,0,0,0,5,0.000
UWS,L00_SV61,positive,False,1472,0,13,0,0,3,3,0.000
UWS,L00_SV62,negative,True,1425,0,33,21,0,0,7,0.389
UWS,L00_SV62,positive,False,1425,0,9,0,8,0,5,0.000
UWS,L00_SV63,negative,True,1467,0,8,0,46,0,2,0.000
UWS,L00_SV63,positive,False,1467,0,12,26,19,0,1,0.684
UWS,L00_SV64,negative,False,1342,0,9,26,0,0,7,0.743
UWS,L00_SV64,positive,True,1342,0,61,1,0,0,0,0.016
UWS,L01_SV01,negative,False,20,1,10,5,15,0,3,0.333
UWS,L01_SV01,positive,True,20,1,1,0,0,0,0,0.000
UWS,L01_SV02,negative,False,480,1,14,5,39,0,0,0.263
UWS,L01_SV02,positive,True,480,1,29,0,0,0,18,0.000
UWS,L01_SV03,negative,True,665,1,0,0,2,0,1,
UWS,L01_SV03,positive,False,665,1,36,8,4,0,13,0.182
UWS,L01_SV04,negative,True,1432,1,28,0,15,0,17,0.000
UWS,L01_SV04,positive,False,1432,1,0,0,0,0,0,
UWS,L01_SV05,negative,True,124,1,32,7,1,0,17,0.179
UWS,L01_SV05,positive,False,124,1,7,5,4,0,3,0.417
UWS,L01_SV06,negative,False,723,1,20,19,18,0,7,0.487
UWS,L01_SV06,positive,True,723,1,2,0,0,0,0,0.000
UWS,L01_SV07,negative,False,306,1,14,13,27,0,10,0.481
UWS,L01_SV07,positive,True,306,1,1,0,0,0,0,0.000
UWS,L01_SV08,negative,False,447,1,8,0,0,4,5,0.000
UWS,L01_SV08,positive,True,447,1,22,24,4,0,6,0.522
UWS,L01_SV09,negative,True,871,1,7,0,0,0,1,0.000
UWS,L01_SV09,positive,False,871,1,22,13,20,0,5,0.371
UWS,L01_SV10,negative,False,430,1,29,0,35,0,0,0.000
UWS,L01_SV10,positive,True,430,1,18,6,0,0,6,0.250
UWS,L01_SV11,negative,True,1057,1,8,0,0,2,15,0.000
UWS,L01_SV11,positive,False,1057,1,19,0,41,0,0,0.000
UWS,L01_SV12,negative,False,170,1,2,14,20,0,0,0.875
UWS,L01_SV12,positive,True,170,1,35,2,10,0,13,0.054
UWS,L01_SV13,negative,False,270,1,9,19,13,0,8,0.679
UWS,L01_SV13,positive,True,270,1,7,3,1,0,5,0.300
UWS,L01_SV14,negative,False,1123,1,0,2,0,4,5,1.000
UWS,L01_SV14,positive,True,1123,1,24,5,29,0,6,0.172
UWS,L01_SV15,negative,True,759,1,0,0,0,40,0,
UWS,L01_SV15,positive,False,759,1,15,12,7,0,19,0.444
UWS,L01_SV16,negative,True,41,1,19,17,3,0,8,0.472
UWS,L01_SV16,positive,False,41,1,2,50,12,0,0,0.962
UWS,L01_SV17,negative,False,1223,1,58,0,0,0,6,0.000
UWS,L01_SV17,positive,True,1223,1,0,0,0,0,1,
UWS,L01_SV18,negative,True,65,1,5,58,0,0,0,0.921
UWS,L01_SV18,positive,False,65,1,46,0,3,0,3,0.000
UWS,L01_SV19,negative,True,474,1,27,9,8,0,14,0.250
UWS,L01_SV19,positive,False,474,1,15,0,16,0,14,0.000
UWS,L01_SV20,negative,False,387,1,61,2,0,0,1,0.032
UWS,L01_SV20,positive,True,387,1,0,0,0,0,0,
UWS,L01_SV21,negative,True,890,1,47,0,2,0,12,0.000
UWS,L01_SV21,positive,False,890,1,22,31,0,0,6,0.585
UWS,L01_SV22,negative,False,1030,1,1,0,0,0,3,0.000
UWS,L01_SV22,positive,True,1030,1,11,5,0,0,0,0.312
UWS,L01_SV23,negative,False,238,1,43,0,12,0,4,0.000
UWS,L01_SV23,positive,True,238,1,39,0,0,0,19,0.000
UWS,L01_SV24,negative,True,1147,1,8,0,0,0,27,0.000
UWS,L01_SV24,positive,False,1147,1,0,4,60,0,0,1.000
UWS,L01_SV25,negative,True,269,1,51,0,0,0,12,0.000
UWS,L01_SV25,positive,False,269,1,0,6,8,0,2,1.000
UWS,L01_SV26,negative,True,992,1,1,0,0,0,0,0.000
UWS,L01_SV26,positive,False,992,1,18,4,0,0,40,0.182
UWS,L01_SV27,negative,True,892,1,42,9,2,0,11,0.176
UWS,L01_SV27,positive,False,892,1,6,0,0,0,3,0.000
UWS,L01_SV28,negative,True,1307,1,3,36,6,0,0,0.923
UWS,L01_SV28,positive,False,1307,1,10,6,8,0,24,0.375
UWS,L01_SV29,negative,True,1316,1,43,0,5,0,7,0.000
UWS,L01_SV29,positive,False,1316,1,18,0,8,2,7,0.000
UWS,L01_SV30,negative,True,1077,1,30,11,0,0,19,0.268
UWS,L01_SV30,positive,False,1077,1,2,0,16,1,8,0.000
UWS,L01_SV31,negative,False,898,1,21,8,0,0,24,0.276
UWS,L01_SV31,positive,True,898,1,0,0,1,0,0,
UWS,L01_SV32,negative,True,888,1,38,1,0,0,3,0.026
UWS,L01_SV32,positive,False,888,1,28,0,9,0,24,0.000
UWS,L01_SV33,negative,True,382,1,8,0,0,3,8,0.000
UWS,L01_SV33,positive,False,382,1,55,3,0,0,3,0.052
UWS,L01_SV34,negative,True,1004,1,0,0,0,0,2,
UWS,L01_SV34,positive,False,1004,1,3,7,40,0,4,0.700
UWS,L01_SV35,negative,False,1433,1,3,0,0,0,14,0.000
UWS,L01_SV35,positive,True,1433,1,34,26,0,0,2,0.433
UWS,L01_SV36,negative,True,691,1,32,18,0,0,7,0.360
UWS,L01_SV36,positive,False,691,1,33,0,0,0,14,0.000
UWS,L01_SV37,negative,True,165,1,39,5,8,0,12,0.114
UWS,L01_SV37,positive,False,165,1,6,1,0,6,4,0.143
UWS,L01_SV38,negative,True,1108,1,12,3,41,1,1,0.200
UWS,L01_SV38,positive,False,1108,1,56,2,0,0,3,0.034
UWS,L01_SV39,negative,True,1241,1,31,23,0,0,10,0.426
UWS,L01_SV39,positive,False,1241,1,0,0,4,1,10,
UWS,L01_SV40,negative,True,986,1,0,0,0,3,9,
UWS,L01_SV40,positive,False,986,1,32,0,1,0,29,0.000
UWS,L01_SV41,negative,False,943,1,62,0,0,0,1,0.000
UWS,L01_SV41,positive,True,943,1,40,14,0,0,7,0.259
UWS,L01_SV42,negative,True,1331,1,4,0,57,0,1,0.000
UWS,L01_SV42,positive,False,1331,1,31,0,2,0,8,0.000
UWS,L01_SV43,negative,True,756,1,36,4,3,0,19,0.100
UWS,L01_SV43,positive,False,756,1,12,0,5,0,0,0.000
UWS,L01_SV44,negative,True,329,1,21,0,0,0,1,0.000
UWS,L01_SV44,positive,False,329,1,18,27,1,0,15,0.600
UWS,L01_SV45,negative,False,1299,1,0,0,11,0,21,
UWS,L01_SV45,positive,True,1299,1,53,2,0,0,7,0.036
UWS,L01_SV46,negative,True,1444,1,3,0,33,0,0,0.000
UWS,L01_SV46,positive,False,1444,1,36,1,0,0,22,0.027
UWS,L01_SV47,negative,True,1193,1,23,0,35,0,4,0.000
UWS,L01_SV47,positive,False,1193,1,0,18,0,0,0,1.000
UWS,L01_SV48,negative,False,1284,1,15,0,0,0,2,0.000
UWS,L01_SV48,positive,True,1284,1,39,17,0,0,8,0.304
UWS,L01_SV49,negative,False,1407,1,54,0,6,0,1,0.000
UWS,L01_SV49,positive,True,1407,1,12,4,38,0,9,0.250
UWS,L01_SV50,negative,True,1430,1,16,6,0,0,24,0.273
UWS,L01_SV50,positive,False,1430,1,0,0,61,0,0,
UWS,L01_SV51,negative,False,1321,1,62,0,0,0,2,0.000
UWS,L01_SV51,positive,True,1321,1,36,0,4,0,1,0.000
UWS,L01_SV52,negative,False,1466,1,46,6,2,0,2,0.115
UWS,L01_SV52,positive,True,1466,1,7,0,7,0,3,0.000
UWS,L01_SV53,negative,False,1283,1,38,6,0,0,17,0.136
UWS,L01_SV53,positive,True,1283,1,0,18,13,0,4,1.000
UWS,L01_SV54,negative,False,996,1,20,0,8,1,12,0.000
UWS,L01_SV54,positive,True,996,1,14,8,37,0,1,0.364
UWS,L01_SV55,negative,True,328,1,2,7,0,0,2,0.778
UWS,L01_SV55,positive,False,328,1,52,1,0,0,6,0.019
UWS,L01_SV56,negative,False,1461,1,29,0,5,0,26,0.000
UWS,L01_SV56,positive,True,1461,1,53,0,4,0,5,0.000
UWS,L01_SV57,negative,False,1367,1,64,0,0,0,0,0.000
UWS,L01_SV57,positive,True,1367,1,16,0,5,0,15,0.000
UWS,L01_SV58,negative,False,1133,1,24,33,0,0,1,0.579
UWS,L01_SV58,positive,True,1133,1,12,0,25,0,23,0.000
UWS,L01_SV59,negative,True,1470,1,12,36,8,0,8,0.750
UWS,L01_SV59,positive,False,1470,1,18,1,1,0,2,0.053
UWS,L01_SV60,negative,False,1165,1,4,0,42,0,5,0.000
UWS,L01_SV60,positive,True,1165,1,50,1,0,0,6,0.020
UWS,L01_SV61,negative,False,894,1,45,0,13,0,5,0.000
UWS,L01_SV61,positive,True,894,1,8,0,0,1,3,0.000
UWS,L01_SV62,negative,True,1054,1,47,0,0,0,11,0.000
UWS,L01_SV62,positive,False,1054,1,3,1,20,1,8,0.250
UWS,L01_SV63,negative,True,1163,1,50,0,9,0,2,0.000
UWS,L01_SV63,positive,False,1163,1,4,0,0,0,5,0.000
UWS,L01_SV64,negative,False,1127,1,47,0,0,0,3,0.000
UWS,L01_SV64,positive,True,1127,1,35,0,6,0,22,0.000
UWS,L02_SV01,negative,False,311,2,8,2,40,0,0,0.200
UWS,L02_SV01,positive,True,311,2,3,0,0,0,0,0.000
UWS,L02_SV02,negative,True,343,2,13,3,28,0,0,0.188
UWS,L02_SV02,positive,False,343,2,12,0,0,0,11,0.000
UWS,L02_SV03,negative,False,369,2,25,8,5,0,12,0.242
UWS,L02_SV03,positive,True,369,2,0,1,2,0,2,1.000
UWS,L02_SV04,negative,False,878,2,25,2,7,0,20,0.074
UWS,L02_SV04,positive,True,878,2,0,8,2,0,0,1.000
UWS,L02_SV05,negative,False,318,2,12,6,7,0,7,0.333
UWS,L02_SV05,positive,True,318,2,20,8,5,0,3,0.286
UWS,L02_SV06,negative,False,40,2,25,14,8,0,7,0.359
UWS,L02_SV06,positive,True,40,2,2,0,5,0,2,0.000
UWS,L02_SV07,negative,True,598,2,9,39,6,0,7,0.812
UWS,L02_SV07,positive,False,598,2,7,0,0,0,2,0.000
UWS,L02_SV08,negative,False,479,2,19,0,0,0,7,0.000
UWS,L02_SV08,positive,True,479,2,21,12,21,0,2,0.364
UWS,L02_SV09,negative,True,1347,2,9,0,0,0,13,0.000
UWS,L02_SV09,positive,False,1347,2,10,0,54,0,0,0.000
UWS,L02_SV10,negative,False,197,2,29,2,30,0,1,0.065
UWS,L02_SV10,positive,True,197,2,3,2,0,0,1,0.400
UWS,L02_SV11,negative,True,155,2,5,0,6,1,5,0.000
UWS,L02_SV11,positive,False,155,2,12,7,41,0,2,0.368
UWS,L02_SV12,negative,True,777,2,23,1,22,0,5,0.042
UWS,L02_SV12,positive,False,777,2,5,0,23,0,13,0.000
UWS,L02_SV13,negative,False,876,2,4,28,12,0,7,0.875
UWS,L02_SV13,positive,True,876,2,3,0,0,0,4,0.000
UWS,L02_SV14,negative,False,612,2,13,12,2,1,13,0.480
UWS,L02_SV14,positive,True,612,2,51,0,9,0,0,0.000
UWS,L02_SV15,negative,False,426,2,19,6,5,0,17,0.240
UWS,L02_SV15,positive,True,426,2,2,0,0,0,0,0.000
UWS,L02_SV16,negative,True,1040,2,46,14,0,0,4,0.233
UWS,L02_SV16,positive,False,1040,2,31,1,1,0,3,0.031
UWS,L02_SV17,negative,False,589,2,22,0,39,0,2,0.000
UWS,L02_SV17,positive,True,589,2,11,0,0,0,4,0.000
UWS,L02_SV18,negative,True,59,2,23,15,0,0,22,0.395
UWS,L02_SV18,positive,False,59,2,3,0,48,0,2,0.000
UWS,L02_SV19,negative,False,157,2,29,32,1,0,2,0.525
UWS,L02_SV19,positive,True,157,2,0,0,0,1,3,
UWS,L02_SV20,negative,True,375,2,0,0,0,0,1,
UWS,L02_SV20,positive,False,375,2,24,0,0,0,0,0.000
UWS,L02_SV21,negative,True,785,2,29,12,9,0,7,0.293
UWS,L02_SV21,positive,False,785,2,27,10,4,0,8,0.270
UWS,L02_SV22,negative,False,671,2,11,0,28,0,4,0.000
UWS,L02_SV22,positive,True,671,2,7,5,3,0,5,0.417
UWS,L02_SV23,negative,True,867,2,3,0,1,0,3,0.000
UWS,L02_SV23,positive,False,867,2,39,3,4,0,5,0.071
UWS,L02_SV24,negative,True,1264,2,42,1,0,0,2,0.023
UWS,L02_SV24,positive,False,1264,2,2,8,16,4,6,0.800
UWS,L02_SV25,negative,True,12,2,0,0,0,0,0,
UWS,L02_SV25,positive,False,12,2,41,0,1,1,17,0.000
UWS,L02_SV26,negative,True,228,2,7,0,56,0,0,0.000
UWS,L02_SV26,positive,False,228,2,24,0,0,0,18,0.000
UWS,L02_SV27,negative,False,522,2,18,0,9,4,5,0.000
UWS,L02_SV27,positive,True,522,2,53,6,0,0,5,0.102
UWS,L02_SV28,negative,False,468,2,9,0,52,0,0,0.000
UWS,L02_SV28,positive,True,468,2,0,0,0,2,1,
UWS,L02_SV29,negative,False,872,2,58,0,1,0,2,0.000
UWS,L02_SV29,positive,True,872,2,13,0,1,0,17,0.000
UWS,L02_SV30,negative,True,1385,2,15,23,0,0,4,0.605
UWS,L02_SV30,positive,False,1385,2,0,0,41,1,1,
UWS,L02_SV31,negative,True,740,2,38,9,0,0,15,0.191
UWS,L02_SV31,positive,False,740,2,0,0,0,0,0,
UWS,L02_SV32,negative,True,896,2,33,25,0,0,6,0.431
UWS,L02_SV32,positive,False,896,2,31,0,7,0,2,0.000
UWS,L02_SV33,negative,True,1297,2,17,0,0,0,2,0.000
UWS,L02_SV33,positive,False,1297,2,12,2,18,0,3,0.143
UWS,L02_SV34,negative,True,906,2,43,0,0,0,18,0.000
UWS,L02_SV34,positive,False,906,2,0,1,16,1,6,1.000
UWS,L02_SV35,negative,True,140,2,57,0,1,1,4,0.000
UWS,L02_SV35,positive,False,140,2,17,0,0,0,5,0.000
UWS,L02_SV36,negative,True,1006,2,39,0,1,0,20,0.000
UWS,L02_SV36,positive,False,1006,2,11,0,1,1,3,0.000
UWS,L02_SV37,negative,False,1336,2,7,13,5,0,14,0.650
UWS,L02_SV37,positive,True,1336,2,30,0,19,0,14,0.000
UWS,L02_SV38,negative,False,806,2,45,1,0,0,12,0.022
UWS,L02_SV38,positive,True,806,2,29,8,0,1,3,0.216
UWS,L02_SV39,negative,False,214,2,16,0,4,0,21,0.000
UWS,L02_SV39,positive,True,214,2,31,17,3,0,11,0.354
UWS,L02_SV40,negative,True,1244,2,12,0,0,0,5,0.000
UWS,L02_SV40,positive,False,1244,2,34,0,4,0,7,0.000
UWS,L02_SV41,negative,True,1424,2,64,0,0,0,0,0.000
UWS,L02_SV41,positive,False,1424,2,50,10,1,0,1,0.167
UWS,L02_SV42,negative,True,1287,2,33,5,1,0,13,0.132
UWS,L02_SV42,positive,False,1287,2,48,0,0,0,11,0.000
UWS,L02_SV43,negative,True,1232,2,32,4,0,0,7,0.111
UWS,L02_SV43,positive,False,1232,2,0,0,63,0,1,
UWS,L02_SV44,negative,True,1132,2,1,0,61,0,1,0.000
UWS,L02_SV44,positive,False,1132,2,2,59,0,0,2,0.967
UWS,L02_SV45,negative,True,1259,2,39,22,1,0,2,0.361
UWS,L02_SV45,positive,False,1259,2,1,0,4,0,16,0.000
UWS,L02_SV46,negative,True,1396,2,2,0,57,0,5,0.000
UWS,L02_SV46,positive,False,1396,2,0,0,0,0,0,
UWS,L02_SV47,negative,True,315,2,44,4,0,0,15,0.083
UWS,L02_SV47,positive,False,315,2,55,0,0,2,0,0.000
UWS,L02_SV48,negative,False,1105,2,3,2,56,0,2,0.400
UWS,L02_SV48,positive,True,1105,2,17,0,6,3,13,0.000
UWS,L02_SV49,negative,True,1090,2,0,0,26,0,2,
UWS,L02_SV49,positive,False,1090,2,48,0,0,0,11,0.000
UWS,L02_SV50,negative,True,752,2,35,0,0,0,24,0.000
UWS,L02_SV50,positive,False,752,2,6,0,42,0,0,0.000
UWS,L02_SV51,negative,True,1084,2,41,0,0,0,2,0.000
UWS,L02_SV51,positive,False,1084,2,11,0,41,0,0,0.000
UWS,L02_SV52,negative,True,1401,2,13,0,20,0,9,0.000
UWS,L02_SV52,positive,False,1401,2,16,0,17,0,19,0.000
UWS,L02_SV53,negative,False,1149,2,32,2,3,8,5,0.059
UWS,L02_SV53,positive,True,1149,2,44,2,0,0,17,0.043
UWS,L02_SV54,negative,True,682,2,16,4,0,0,1,0.200
UWS,L02_SV54,positive,False,682,2,15,0,0,0,28,0.000
UWS,L02_SV55,negative,True,1382,2,0,6,0,0,18,1.000
UWS,L02_SV55,positive,False,1382,2,34,0,0,0,14,0.000
UWS,L02_SV56,negative,False,1394,2,40,0,7,0,13,0.000
UWS,L02_SV56,positive,True,1394,2,16,2,0,0,11,0.111
UWS,L02_SV57,negative,True,1178,2,27,0,3,0,16,0.000
UWS,L02_SV57,positive,False,1178,2,19,17,0,0,6,0.472
UWS,L02_SV58,negative,False,1183,2,21,0,1,0,7,0.000
UWS,L02_SV58,positive,True,1183,2,22,0,0,0,13,0.000
UWS,L02_SV59,negative,False,669,2,24,2,9,0,18,0.077
UWS,L02_SV59,positive,True,669,2,0,0,62,0,0,
UWS,L02_SV60,negative,True,1197,2,34,1,3,0,5,0.029
UWS,L02_SV60,positive,False,1197,2,34,2,4,4,5,0.056
UWS,L02_SV61,negative,True,1113,2,45,0,7,0,10,0.000
UWS,L02_SV61,positive,False,1113,2,0,13,2,1,19,1.000
UWS,L02_SV62,negative,True,901,2,50,0,0,0,9,0.000
UWS,L02_SV62,positive,False,901,2,2,0,55,0,3,0.000
UWS,L02_SV63,negative,True,897,2,10,48,0,0,3,0.828
UWS,L02_SV63,positive,False,897,2,45,0,16,0,3,0.000
UWS,L02_SV64,negative,False,221,2,2,0,56,0,5,0.000
UWS,L02_SV64,positive,True,221,2,64,0,0,0,0,0.000
UWS,L03_SV01,negative,False,106,3,12,1,32,0,3,0.077
UWS,L03_SV01,positive,True,106,3,2,0,0,0,0,0.000
UWS,L03_SV02,negative,False,317,3,7,2,44,0,0,0.222
UWS,L03_SV02,positive,True,317,3,25,0,0,0,19,0.000
UWS,L03_SV03,negative,False,265,3,34,12,2,0,12,0.261
UWS,L03_SV03,positive,True,265,3,0,0,0,0,0,
UWS,L03_SV04,negative,True,1271,3,17,2,13,0,6,0.105
UWS,L03_SV04,positive,False,1271,3,0,0,0,0,0,
UWS,L03_SV05,negative,False,295,3,30,18,5,0,11,0.375
UWS,L03_SV05,positive,True,295,3,0,0,0,0,0,
UWS,L03_SV06,negative,True,977,3,31,0,0,0,28,0.000
UWS,L03_SV06,positive,False,977,3,1,9,37,0,0,0.900
UWS,L03_SV07,negative,True,1142,3,37,11,6,0,8,0.229
UWS,L03_SV07,positive,False,1142,3,1,0,0,0,2,0.000
UWS,L03_SV08,negative,True,1100,3,0,0,0,0,4,
UWS,L03_SV08,positive,False,1100,3,5,0,57,0,0,0.000
UWS,L03_SV09,negative,True,225,3,34,2,3,0,7,0.056
UWS,L03_SV09,positive,False,225,3,39,6,5,2,1,0.133
UWS,L03_SV10,negative,False,240,3,9,2,7,0,15,0.182
UWS,L03_SV10,positive,True,240,3,37,4,5,0,3,0.098
UWS,L03_SV11,negative,False,359,3,0,0,0,0,1,
UWS,L03_SV11,positive,True,359,3,22,5,16,0,8,0.185
UWS,L03_SV12,negative,True,886,3,52,3,0,0,8,0.055
