candidate,sign,rank,z,raw,pid,position,kept_position,token,context,trace_z
L03/SV12,positive,24,3.885174673659581,29.813325881958008,fineweb_discovery_0203,101,100, exhibition,"16 oz.\nBlade: Mirror polished Cowry Y stainless steel, heat treated to 67 Rc\nHandle: Sculpting⟦ exhibition⟧ grade goldlip mother of pearl set on 416 stainless steel liners\nDescription: This gent's folder shows off Koji",",{+0.44}  heat{-0.26}  treated{+0.56}  to{+0.21}  {-1.33} 67{-0.66}  Rc{-1.60} \n{-1.52} Handle{+0.32} :{+0.02}  Sculpt{+0.53} ing{+0.47} ⟦ exhibition{+3.89}⟧  grade{+0.10}  gold{-1.42} lip{-0.63}  mother{-0.32}  of{+0.17}  pearl{+0.56}  set{-0.49}  on{-0.91}  {-1.45} 416{+0.21}  stainless{+0.19}  steel{+0.06}"
L03/SV12,positive,25,3.871002770984308,29.70946502685547,fineweb_discovery_0002,143,142, identification,2019 charging them with conspiracy to obtain information from a protected computer and conspiracy to unlawfully possess and use a means of⟦ identification⟧. They are alleged to have breached a health care provider’s electronic health record (EHR) system in order to steal, computer{+0.09}  and{+0.28}  conspiracy{+1.28}  to{+1.06}  unlaw{+1.50} fully{+1.83}  possess{+1.78}  and{+0.50}  use{-0.13}  a{+0.34}  means{+0.30}  of{+0.94} ⟦ identification{+3.87}⟧ .{+0.88}  They{+0.64}  are{+1.01}  alleged{+2.28}  to{+1.23}  have{+1.15}  breached{+1.91}  a{+0.71}  health{+0.29}  care{+0.98}  provider{+1.99} ’s{+0.61}
L03/SV12,positive,26,3.842918444211015,29.503644943237305,fineweb_discovery_0274,79,78, proficiency,") become successful writers this section offers a number of ideas and resources from veteran educators and researchers for students of all ages and⟦ proficiency⟧ levels.\nYour esl students need to keep their english skills sharp at all times otherwise, writing english will be as frustrating", resources{+0.66}  from{-1.24}  veteran{+1.16}  educators{+2.05}  and{+0.08}  researchers{+1.80}  for{-0.62}  students{-0.12}  of{+0.65}  all{-0.55}  ages{-0.37}  and{+0.23} ⟦ proficiency{+3.84}⟧  levels{+0.48} .\n{-0.35} Your{-0.67}  es{-1.19} l{-0.73}  students{-0.62}  need{-1.14}  to{+0.45}  keep{-0.69}  their{-0.68}  english{-0.38}  skills{-0.28}
L03/SV12,positive,27,3.7991043022615,29.182546615600586,fineweb_discovery_0179,31,30, demonstrating," house, exploring each room at their own pace. Each of the two evenings will also feature two performances by the artists,⟦ demonstrating⟧ their own interpretation of interaction with the hacked sculptures and the living space itself.\nWhat you are about to listen to is the"," the{+0.23}  two{-1.10}  evenings{+0.77}  will{+0.61}  also{+0.62}  feature{+1.67}  two{-1.28}  performances{+1.76}  by{+0.32}  the{+0.71}  artists{+0.65} ,{+1.19} ⟦ demonstrating{+3.80}⟧  their{+0.05}  own{-0.30}  interpretation{+3.80}  of{+1.17}  interaction{+1.95}  with{+0.13}  the{+0.66}  hacked{-0.53}  sculptures{+1.61}  and{+0.56}  the{+0.73}  living{+0.17}"
L03/SV12,positive,28,3.778750198859941,29.03337860107422,fineweb_discovery_0050,187,186, methodologies, the most important aspect of the IT industry is to keep adapting to the emerging technologies. We continually evaluate our own processes and⟦ methodologies⟧ and keep having regular training on newer technology products which keeps our team updated in meeting development challenges. Our team has a comprehensive, to{+0.39}  the{+0.74}  emerging{+2.57}  technologies{+1.49} .{+0.61}  We{+0.18}  continually{+2.49}  evaluate{+3.23}  our{+0.05}  own{-0.26}  processes{+0.86}  and{+0.36} ⟦ methodologies{+3.78}⟧  and{+0.45}  keep{-0.62}  having{+0.48}  regular{-0.04}  training{+1.29}  on{-0.59}  newer{-0.14}  technology{+1.31}  products{-0.29}  which{-0.00}  keeps{-1.08}  our{-0.44}
L03/SV12,positive,29,3.7714837576593894,28.980125427246094,fineweb_discovery_0298,4,3, revolutionary," Union is a⟦ revolutionary⟧ force and it stands for the right of workers.\nin South Africa, we know especially in all of Africa. when you", Union{+1.12}  is{+0.39}  a{+0.16} ⟦ revolutionary{+3.77}⟧  force{+0.49}  and{+0.13}  it{-0.50}  stands{+0.03}  for{-1.32}  the{+0.59}  right{-0.69}  of{+0.73}  workers{+0.03} .\n{-1.14} in{-1.13}  South{-1.31}
L03/SV12,positive,30,3.756447793924451,28.869932174682617,fineweb_discovery_0376,61,60, cultivation," practices pose serious threats to the sustainability of the natural resources and maintaining ecological balance. There is a widespread problem related to intensive⟦ cultivation⟧, overgrazing and deforestation, soil erosion and soil fertility decline, water scarcity, livestock feed and the fuel"," maintaining{+2.34}  ecological{+3.10}  balance{+1.82} .{+1.34}  There{+0.79}  is{+0.97}  a{+0.34}  widespread{+2.19}  problem{+0.09}  related{-0.12}  to{+0.76}  intensive{+2.52} ⟦ cultivation{+3.76}⟧ ,{+1.24}  over{-0.60} g{-1.32} raz{-0.58} ing{+0.94}  and{-0.04}  def{-0.86} orestation{+1.75} ,{+1.46}  soil{-0.47}  erosion{+1.24}  and{+0.11}"
L03/SV12,negative,1,-3.8969077169551785,-27.218799591064453,fineweb_discovery_0230,5,4, �," fashion experience.\n-⟦ �⟧�Good Partner - PORPEE Sunglasses is a good choice for outdoor sports and activities such as driving, playing golf", fashion{+0.95}  experience{+1.86} .\n{-1.13} -{-0.92} ⟦ �{-3.90}⟧ �{-2.01} Good{-1.41}  Partner{-0.71}  -{-1.22}  POR{-1.16} PE{-0.95} E{-0.18}  Sung{-1.03} lasses{-0.76}  is{-0.11}  a{+0.10}  good{-0.49}
L03/SV12,negative,2,-3.867915605550528,-27.00632667541504,fineweb_discovery_0053,59,58, “,"ret “The Hitman” Hart and Vitor Belfort can debate this point, but if you ask MMA legend Dan⟦ “⟧The Beast” Severn, he will tell you that pro wrestling is harder than MMA.\nNow before the MMA marks get"," can{-0.36}  debate{+2.49}  this{+0.31}  point{+0.41} ,{+0.79}  but{-0.43}  if{-1.82}  you{-0.96}  ask{-1.17}  MMA{-1.32}  legend{+0.81}  Dan{-2.12} ⟦ “{-3.87}⟧ The{-0.22}  Beast{+0.33} ”{+0.36}  Se{-1.36} vern{+0.58} ,{+0.19}  he{-0.70}  will{+0.76}  tell{-0.74}  you{-0.51}  that{-0.14}  pro{-1.10}"
L03/SV12,negative,3,-3.5762153585510497,-24.868558883666992,fineweb_discovery_0328,7,6, Sp," battles with the Penn Battle II⟦ Sp⟧inning Reel Combo. This fishing combo pairs a robust full metal body fishing reel with an ultra-responsive fishing rod, giving you", battles{+0.13}  with{-1.17}  the{+0.23}  Penn{-1.20}  Battle{+0.16}  II{-0.50} ⟦ Sp{-3.58}⟧ inning{-1.04}  Reel{+0.20}  Combo{-1.69} .{+0.12}  This{+0.16}  fishing{-0.41}  combo{-1.58}  pairs{-1.23}  a{-0.29}  robust{+1.05}  full{-0.92}  metal{-0.69}
L03/SV12,negative,4,-3.573729100929672,-24.850337982177734,fineweb_discovery_0063,160,159,/c, of like a quiche with a potato crust? I think I saw something like that on a Facebook post from a food⟦/c⟧ooking site using muffin tins. So not an original idea of mine.\nSpeaking of Facebook I find it is a fabulous place, I{-0.32}  saw{-0.16}  something{-0.18}  like{-0.45}  that{+0.20}  on{-1.22}  a{-0.26}  Facebook{-1.02}  post{-0.43}  from{-1.39}  a{-0.16}  food{-1.29} ⟦/c{-3.57}⟧ ooking{+0.07}  site{-0.35}  using{+0.12}  muffin{+0.76}  tins{-1.37} .{+0.11}  So{-1.70}  not{-0.72}  an{-0.27}  original{+0.27}  idea{+0.62}  of{+0.63}
L03/SV12,negative,5,-3.555555190147633,-24.717147827148438,fineweb_discovery_0187,31,30, “,". The two worked together at Pepperdine University and OU.\nSMU remembers Robert Lee Zollars ’72\nRobert⟦ “⟧Bob” L. Zollars of Dallas, Texas, longtime SMU supporter and co-founder, chairman and CEO of Hu",".\n{-1.22} SM{-2.95} U{-1.38}  remembers{-0.45}  Robert{-0.18}  Lee{-0.27}  Zoll{-0.49} ars{-0.53}  ’{-2.27} 72{-1.77} \n{-1.44} Robert{-0.49} ⟦ “{-3.56}⟧ Bob{-1.67} ”{+0.18}  L{-1.78} .{+0.36}  Zoll{-0.25} ars{-0.35}  of{+0.19}  Dallas{-1.10} ,{+0.78}  Texas{-1.39} ,{+1.30}  longtime{-0.15}"
L03/SV12,negative,6,-3.5274461387355855,-24.511146545410156,fineweb_discovery_0242,90,89,Sm," Song community musicians, all of whom have lived experience of mental illness.\n""Bravado"" | Gloria Ellis\n""⟦Sm⟧other Me"" | Sharon Mullen\n""Catastrophe"" | Christine Bolton\n""Mixolydia"" | Tim"," illness{+1.53} .\n{-0.47} ""{-1.07} Br{-2.57} av{-1.07} ado{+0.57} ""{+0.52}  |{-1.02}  Gloria{+0.83}  Ellis{+0.60} \n{-1.44} ""{-1.10} ⟦Sm{-3.53}⟧ other{-0.80}  Me{-1.04} ""{+0.42}  |{-0.90}  Sharon{-0.36}  M{-2.02} ullen{+0.16} \n{-1.16} ""{-1.07} Cat{-1.99} ast{-0.25} rophe{+1.47}"
L03/SV12,negative,7,-3.5170451338595523,-24.434921264648438,fineweb_discovery_0043,102,101,/S,"Jungle, UK Garage (and all offshoots such as grime, dubstep et al), Hip Hop, Funk⟦/S⟧oul and R&B. From time-to-time you’ll catch me on a House kick or getting back to my So-Cal"," as{+0.37}  grime{-0.55} ,{+0.28}  dub{-0.27} step{-0.13}  et{-0.28}  al{-0.32} ),{+0.44}  Hip{-1.25}  Hop{-1.18} ,{+0.49}  Funk{-1.36} ⟦/S{-3.52}⟧ oul{+0.07}  and{-0.53}  R{-2.09} &B{-0.34} .{+0.23}  From{-1.60}  time{-0.84} -to{-0.97} -time{+0.49}  you{-0.82} ’ll{-0.22}  catch{-0.54}"
L03/SV12,negative,8,-3.4988345265084138,-24.301462173461914,fineweb_discovery_0049,234,233, ($, meals are on us! Free refreshments as well!\n- We will also pay per shift you volunteer as an umpire!⟦ ($⟧35/shift; Monday $40)\n- You get to call the shots for the match you’re assigned to, will{+0.70}  also{+0.77}  pay{-0.65}  per{-1.13}  shift{+0.43}  you{-0.50}  volunteer{+1.47}  as{-0.46}  an{+0.34}  ump{+0.85} ire{+1.40} !{-0.26} ⟦ (${-3.50}⟧ 35{-1.05} /{-1.53} shift{-0.13} ;{+0.04}  Monday{-0.41}  ${-2.93} 40{-1.39} )\n{-1.10} -{-0.32}  You{-0.38}  get{-1.01}  to{-0.23}
